count,start_year,start_month,start_day,start_hour,end_year,end_month,end_day,end_hour
409, 1995, 08,02,00, 1995, 08,08,00
410, 1995, 08,07,00, 1995, 08,13,00
411, 1995, 08,12,00, 1995, 08,18,00
412, 1995, 08,17,00, 1995, 08,23,00
413, 1995, 08,22,00, 1995, 08,28,00
414, 1995, 08,27,00, 1995, 09,02,00
415, 1995, 09,01,00, 1995, 09,07,00
416, 1995, 09,06,00, 1995, 09,12,00
417, 1995, 09,11,00, 1995, 09,17,00
418, 1995, 09,16,00, 1995, 09,22,00
419, 1995, 09,21,00, 1995, 09,27,00
420, 1995, 09,26,00, 1995, 10,02,00
421, 1995, 10,01,00, 1995, 10,07,00
422, 1995, 10,06,00, 1995, 10,12,00
423, 1995, 10,11,00, 1995, 10,17,00
424, 1995, 10,16,00, 1995, 10,22,00
425, 1995, 10,21,00, 1995, 10,27,00
426, 1995, 10,26,00, 1995, 11,01,00
427, 1995, 10,31,00, 1995, 11,06,00
428, 1995, 11,05,00, 1995, 11,11,00
429, 1995, 11,10,00, 1995, 11,16,00
430, 1995, 11,15,00, 1995, 11,21,00
431, 1995, 11,20,00, 1995, 11,26,00
432, 1995, 11,25,00, 1995, 12,01,00
433, 1995, 11,30,00, 1995, 12,06,00
434, 1995, 12,05,00, 1995, 12,11,00
435, 1995, 12,10,00, 1995, 12,16,00
436, 1995, 12,15,00, 1995, 12,21,00
437, 1995, 12,20,00, 1995, 12,26,00
438, 1995, 12,25,00, 1995, 12,31,00
439, 1995, 12,30,00, 1996, 01,05,00
440, 1996, 01,04,00, 1996, 01,10,00
441, 1996, 01,09,00, 1996, 01,15,00
442, 1996, 01,14,00, 1996, 01,20,00
443, 1996, 01,19,00, 1996, 01,25,00
444, 1996, 01,24,00, 1996, 01,30,00
445, 1996, 01,29,00, 1996, 02,04,00
446, 1996, 02,03,00, 1996, 02,09,00
447, 1996, 02,08,00, 1996, 02,14,00
448, 1996, 02,13,00, 1996, 02,19,00
449, 1996, 02,18,00, 1996, 02,24,00
450, 1996, 02,23,00, 1996, 02,29,00
451, 1996, 02,28,00, 1996, 03,05,00
452, 1996, 03,04,00, 1996, 03,10,00
453, 1996, 03,09,00, 1996, 03,15,00
